TUCASEID,newAct,remote,TUACTDUR24
20180111172538,Socialising & relaxing,Non-remote,40.0
20180111172538,Travelling,Non-remote,60.0
20180111172538,Working,Non-remote,455.0
20180112170019,Doing housework,Non-remote,90.0
20180112170019,Eating & Drinking,Non-remote,85.0
20180112170019,Exercising,Non-remote,0.0
20180112170019,Sleeping,Non-remote,356.0
20180112170019,Socialising & relaxing,Non-remote,335.0
20180112170019,Travelling,Non-remote,24.0
20180112170019,Working,Non-remote,520.0
20180112170040,Doing housework,Non-remote,0.0
20180112170040,Eating & Drinking,Non-remote,40.0
20180112170040,Exercising,Non-remote,0.0
20180112170040,Sleeping,Non-remote,668.0
20180112170040,Socialising & relaxing,Non-remote,120.0
20180112170040,Travelling,Non-remote,80.0
20180112170040,Working,Non-remote,450.0
20180112170052,Doing housework,Non-remote,0.0
20180112170052,Eating & Drinking,Non-remote,10.0
20180112170052,Exercising,Non-remote,30.0
20180112170052,Sleeping,Non-remote,450.0
20180112170052,Socialising & relaxing,Non-remote,0.0
20180112170052,Travelling,Non-remote,115.0
20180112170052,Working,Non-remote,660.0
20180112170079,Doing housework,Remote,0.0
20180112170079,Eating & Drinking,Remote,25.0
20180112170079,Exercising,Remote,0.0
20180112170079,Sleeping,Remote,600.0
20180112170079,Socialising & relaxing,Remote,775.0
20180112170079,Travelling,Remote,0.0
20180112170079,Working,Remote,30.0
20180112170081,Doing housework,Non-remote,0.0
20180112170081,Eating & Drinking,Non-remote,70.0
20180112170081,Exercising,Non-remote,0.0
20180112170081,Sleeping,Non-remote,215.0
20180112170081,Socialising & relaxing,Non-remote,244.0
20180112170081,Travelling,Non-remote,30.0
20180112170081,Working,Non-remote,735.0
20180112170094,Doing housework,Remote,0.0
20180112170094,Eating & Drinking,Remote,75.0
20180112170094,Exercising,Remote,60.0
20180112170094,Sleeping,Remote,440.0
20180112170094,Socialising & relaxing,Remote,270.0
20180112170094,Travelling,Remote,35.0
20180112170094,Working,Remote,450.0
20180112170099,Doing housework,Remote,35.0
20180112170099,Eating & Drinking,Remote,45.0
20180112170099,Exercising,Remote,0.0
20180112170099,Sleeping,Remote,465.0
20180112170099,Socialising & relaxing,Remote,175.0
20180112170099,Travelling,Remote,231.0
20180112170099,Working,Remote,90.0
20180112170100,Doing housework,Non-remote,0.0
20180112170100,Eating & Drinking,Non-remote,60.0
20180112170100,Exercising,Non-remote,0.0
20180112170100,Sleeping,Non-remote,495.0
20180112170100,Socialising & relaxing,Non-remote,155.0
20180112170100,Travelling,Non-remote,240.0
20180112170100,Working,Non-remote,480.0
20180112170103,Doing housework,Non-remote,0.0
20180112170103,Eating & Drinking,Non-remote,75.0
20180112170103,Exercising,Non-remote,0.0
20180112170103,Sleeping,Non-remote,470.0
20180112170103,Socialising & relaxing,Non-remote,115.0
20180112170103,Travelling,Non-remote,69.0
20180112170103,Working,Non-remote,511.0
20180112170121,Doing housework,Non-remote,0.0
20180112170121,Eating & Drinking,Non-remote,95.0
20180112170121,Exercising,Non-remote,0.0
20180112170121,Sleeping,Non-remote,525.0
20180112170121,Socialising & relaxing,Non-remote,125.0
20180112170121,Travelling,Non-remote,170.0
20180112170121,Working,Non-remote,440.0
20180112170147,Doing housework,Non-remote,120.0
20180112170147,Eating & Drinking,Non-remote,25.0
20180112170147,Exercising,Non-remote,0.0
20180112170147,Sleeping,Non-remote,517.0
20180112170147,Socialising & relaxing,Non-remote,0.0
20180112170147,Travelling,Non-remote,75.0
20180112170147,Working,Non-remote,584.0
20180112170156,Doing housework,Non-remote,0.0
20180112170156,Eating & Drinking,Non-remote,30.0
20180112170156,Exercising,Non-remote,0.0
20180112170156,Sleeping,Non-remote,420.0
20180112170156,Socialising & relaxing,Non-remote,60.0
20180112170156,Travelling,Non-remote,355.0
20180112170156,Working,Non-remote,525.0
20180112170501,Doing housework,Non-remote,0.0
20180112170501,Eating & Drinking,Non-remote,30.0
20180112170501,Exercising,Non-remote,0.0
20180112170501,Sleeping,Non-remote,478.0
20180112170501,Socialising & relaxing,Non-remote,0.0
20180112170501,Travelling,Non-remote,105.0
20180112170501,Working,Non-remote,510.0
20180112170523,Doing housework,Remote,0.0
20180112170523,Eating & Drinking,Remote,0.0
20180112170523,Exercising,Remote,0.0
20180112170523,Sleeping,Remote,435.0
20180112170523,Socialising & relaxing,Remote,410.0
